Tanggal_Rilis,Judul,Kategori,Genre,Rating_IMDb,Durasi_Menit,Sutradara,Negara_Asal,Pendapatan_Global_Juta_USD,Jumlah_Ulasan_IMDb
2022-06-24,Elvis,Hollywood,Biografi/Musikal,7.3,159.0,Baz Luhrmann,Amerika Serikat,287.0,218000.0
2022-07-01,Where the Crawdads Sing,Hollywood,Drama/Misteri,7.0,125.0,Olivia Newman,Amerika Serikat,146.8,110000.0
2022-07-07,Dirty Vote,Indonesia,Dokumenter,6.8,75.0,Dandhy Laksono,Indonesia,,4200.0
2022-07-08,Thor: Love and Thunder,Hollywood,Aksi/Komedi,6.3,119.0,Taika Waititi,Amerika Serikat,760.9,435000.0
2022-07-14,Mencuri Raden Saleh,Indonesia,Thriller/Kriminal,7.6,150.0,Angga Dwimas Sasongko,Indonesia,,18000.0
2022-07-22,Nope,Hollywood,Horor/Sci-Fi,6.9,130.0,Jordan Peele,Amerika Serikat,171.7,260000.0
2022-07-28,Miracle in Cell No. 7 (Indonesia),Indonesia,Drama,8.1,140.0,Hanung Bramantyo,Indonesia,,25000.0
2022-07-29,DC League of Super-Pets,Hollywood,Animasi/Aksi,6.6,105.0,Jared Stern,Amerika Serikat,204.3,57000.0
2022-08-04,Kisah Tanah Jawa: Pocong Gundul,Indonesia,Horor,6.1,95.0,Rizal Mantovani,Indonesia,,5600.0
2022-08-05,Bullet Train,Hollywood,Aksi/Komedi,7.3,126.0,David Leitch,Amerika Serikat,239.3,395000.0
2022-08-11,Susi Susanti: Love All,Indonesia,Drama/Biografi,7.8,130.0,Sim F,Indonesia,,12000.0
2022-08-12,Prey,Hollywood,Aksi/Horor,7.1,99.0,Dan Trachtenberg,Amerika Serikat,,274000.0
2022-08-25,Titi Mangsa,Indonesia,Horor,5.9,92.0,Jose Poernomo,Indonesia,,3200.0
2022-09-01,Sayap-Sayap Patah,Indonesia,Drama,6.8,105.0,Rudi Soedjarwo,Indonesia,,6700.0
2022-09-02,Beast,Hollywood,Aksi/Thriller,5.9,93.0,Baltasar Kormákur,Amerika Serikat,67.2,81000.0
2022-09-08,Tiga Dara,Indonesia,Drama/Komedi,6.7,100.0,Nia Dinata,Indonesia,,2800.0
2022-09-16,Don't Worry Darling,Hollywood,Thriller,6.4,122.0,Olivia Wilde,Amerika Serikat,67.1,132000.0
2022-09-23,The Woman King,Hollywood,Drama/Aksi,6.9,135.0,Gina Prince-Bythewood,Amerika Serikat,95.3,73000.0
2022-09-29,Yowis Ben: Finale,Indonesia,Komedi/Musikal,7.0,115.0,Fajar Nugros,Indonesia,,14000.0
2022-09-30,Don't Worry Darling,Hollywood,Thriller/Misteri,6.4,122.0,Olivia Wilde,Amerika Serikat,67.1,132000.0
2022-10-05,Amsterdam,Hollywood,Drama/Misteri,6.1,134.0,David O. Russell,Amerika Serikat,6.3,68000.0
2022-10-06,Keramat 2: Caruban Larang,Indonesia,Horor,5.5,88.0,Monty Tiwa,Indonesia,,2100.0
2022-10-07,Amsterdam,Hollywood,Drama/Misteri,6.1,134.0,David O. Russell,Amerika Serikat,6.3,68000.0
2022-10-13,Pengabdi Setan 2: Communion,Indonesia,Horor,7.4,120.0,Joko Anwar,Indonesia,,32000.0
2022-10-14,Halloween Ends,Hollywood,Horor/Slasher,5.2,111.0,David Gordon Green,Amerika Serikat,65.2,88000.0
2022-10-21,Ticket to Paradise,Hollywood,Romansa/Komedi,6.7,104.0,Ol Parker,Amerika Serikat,171.5,80000.0
2022-10-27,Angin Ribut,Indonesia,Drama,6.5,98.0,Ifa Isfansyah,Indonesia,,2800.0
2022-10-28,Black Adam,Hollywood,Aksi/Sci-Fi,6.3,125.0,Jaume Collet-Serra,Amerika Serikat,393.3,282000.0
2022-11-03,Gita Cinta dari SMA (Remake),Indonesia,Drama/Romansa,6.1,108.0,Fajar Nugros,Indonesia,,4300.0
2022-11-04,The Menu,Hollywood,Thriller/Horor,7.2,107.0,Mark Mylod,Amerika Serikat,82.9,316000.0
2022-11-10,Mumun,Indonesia,Horor/Komedi,6.3,88.0,Ody C. Harahap,Indonesia,,4500.0
2022-11-11,Black Panther: Wakanda Forever,Hollywood,Aksi/Sci-Fi,6.7,161.0,Ryan Coogler,Amerika Serikat,859.2,441000.0
2022-11-17,Sirkus Pohon,Indonesia,Drama/Komedi,6.6,108.0,Riri Riza,Indonesia,,5200.0
2022-11-18,Strange World,Hollywood,Animasi/Petualangan,5.3,102.0,Don Hall,Amerika Serikat,73.6,30000.0
2022-11-23,Violent Night,Hollywood,Aksi/Komedi,7.2,113.0,Tommy Wirkola,Amerika Serikat,73.2,128000.0
2022-11-23,Strange World,Hollywood,Animasi,5.3,102.0,Don Hall,Amerika Serikat,73.6,30000.0
2022-12-01,Layangan Putus,Indonesia,Drama,6.9,110.0,Benni Setiawan,Indonesia,,15000.0
2022-12-02,Devotion,Hollywood,Drama/Perang,7.2,139.0,J.D. Dillard,Amerika Serikat,16.8,28000.0
2022-12-08,Buya Hamka: Vol. I,Indonesia,Biografi/Drama,7.5,135.0,Fajar Nugros,Indonesia,,12000.0
2022-12-09,Spirited,Hollywood,Musikal/Komedi,6.7,127.0,Sean Anders,Amerika Serikat,,50000.0
2022-12-16,Avatar: The Way of Water,Hollywood,Sci-Fi/Petualangan,7.6,192.0,James Cameron,Amerika Serikat,2320.3,441000.0
2022-12-21,Whitney Houston: I Wanna Dance with Somebody,Hollywood,Biografi/Musikal,6.1,146.0,Kasi Lemmons,Amerika Serikat,60.4,21000.0
2022-12-22,Akhirat: Sebuah Komedi,Indonesia,Komedi/Fantasi,7.2,105.0,Herwin Novianto,Indonesia,,7600.0
2022-12-23,Babylon,Hollywood,Drama,7.0,189.0,Damien Chazelle,Amerika Serikat,62.2,166000.0
2022-12-29,Kukira Kau Rumah 2,Indonesia,Drama/Romansa,6.4,100.0,Umay Shahab,Indonesia,,6300.0
2023-01-05,Autobiography,Indonesia,Drama/Thriller,7.2,115.0,Makbul Mubarak,Indonesia,,5200.0
2023-01-06,M3GAN,Hollywood,Horor/Sci-Fi,6.4,102.0,Gerard Johnstone,Amerika Serikat,180.0,152000.0
2023-01-12,Virgo and the Sparklings,Indonesia,Drama,5.1,105.0,Riri Riza,Indonesia,,3100.0
2023-01-13,Plane,Hollywood,Aksi/Thriller,6.4,107.0,Jean-François Richet,Amerika Serikat,75.0,89000.0
2023-01-20,Missing,Hollywood,Thriller/Misteri,7.1,111.0,Nick Johnson,Amerika Serikat,35.6,103000.0
2023-01-26,Air Mata di Ujung Sajadah,Indonesia,Drama,6.4,105.0,Hanung Bramantyo,Indonesia,,7800.0
2023-02-02,Ranah 3 Warna,Indonesia,Drama,7.0,118.0,Guntur Soeharjanto,Indonesia,,6200.0
2023-02-03,Knock at the Cabin,Hollywood,Horor/Thriller,6.8,100.0,M. Night Shyamalan,Amerika Serikat,67.6,120000.0
2023-02-03,Magic Mike's Last Dance,Hollywood,Drama/Romansa,4.6,112.0,Steven Soderbergh,Amerika Serikat,,23000.0
2023-02-09,Siksa Kubur (Teaser),Indonesia,Horor,,,Joko Anwar,Indonesia,,
2023-02-10,Knock at the Cabin,Hollywood,Horor/Thriller,6.8,100.0,M. Night Shyamalan,Amerika Serikat,67.6,120000.0
2023-02-17,Ant-Man and the Wasp: Quantumania,Hollywood,Aksi/Sci-Fi,6.1,124.0,Peyton Reed,Amerika Serikat,476.1,285000.0
2023-02-23,Waktu Maghrib,Indonesia,Horor,6.2,88.0,Sidharta Tata,Indonesia,,7800.0
2023-03-03,Scream VI,Hollywood,Horor,6.5,123.0,Matt Bettinelli-Olpin,Amerika Serikat,168.9,145000.0
2023-03-09,Women From Rote Island,Indonesia,Drama,7.4,114.0,Jeremias Nyangoen,Indonesia,,2900.0
2023-03-10,65,Hollywood,Aksi/Sci-Fi,5.4,93.0,Scott Beck,Amerika Serikat,37.5,94000.0
2023-03-17,Shazam! Fury of the Gods,Hollywood,Aksi/Komedi,5.9,130.0,David F. Sandberg,Amerika Serikat,133.3,155000.0
2023-03-23,Kisah Tanah Jawa: Kidung Pemisah,Indonesia,Horor,6.0,100.0,Rizal Mantovani,Indonesia,,3400.0
2023-03-24,John Wick: Chapter 4,Hollywood,Aksi/Thriller,7.7,169.0,Chad Stahelski,Amerika Serikat,440.0,453000.0
2023-03-30,Srimulat: Hil yang Mustahal – Babak Pertama,Indonesia,Komedi,6.7,130.0,Fajar Nugros,Indonesia,,12000.0
2023-03-31,Dungeons & Dragons: Honor Among Thieves,Hollywood,Fantasi/Petualangan,7.2,134.0,John Francis Daley,Amerika Serikat,208.2,157000.0
2023-04-06,Bunga Terakhir,Indonesia,Drama/Romansa,6.3,108.0,Rudi Soedjarwo,Indonesia,,2500.0
2023-04-07,The Super Mario Bros. Movie,Hollywood,Animasi/Petualangan,7.1,92.0,Aaron Horvath,Amerika Serikat,1362.0,264000.0
2023-04-14,Evil Dead Rise,Hollywood,Horor,6.5,97.0,Lee Cronin,Amerika Serikat,148.2,126000.0
2023-04-19,Mencuri Raden Saleh,Indonesia,Thriller/Kriminal,7.6,150.0,Angga Dwimas Sasongko,Indonesia,,18000.0
2023-04-21,"Are You There God? It's Me, Margaret",Hollywood,Drama/Komedi,6.8,106.0,Kelly Fremon Craig,Amerika Serikat,14.9,15000.0
2023-04-28,Book Club: The Next Chapter,Hollywood,Komedi/Romansa,5.6,107.0,Bill Holderman,Amerika Serikat,34.5,12000.0
2023-05-05,Guardians of the Galaxy Vol. 3,Hollywood,Aksi/Sci-Fi,7.9,150.0,James Gunn,Amerika Serikat,845.6,548000.0
2023-05-12,Fast X,Hollywood,Aksi,5.8,141.0,Louis Leterrier,Amerika Serikat,714.9,192000.0
2023-05-18,Joko Anwar's Nightmares and Daydreams,Indonesia,Horor/Fantasi,7.3,,Joko Anwar,Indonesia,,8500.0
2023-05-26,The Little Mermaid,Hollywood,Musikal/Fantasi,6.0,135.0,Rob Marshall,Amerika Serikat,569.6,110000.0
2023-06-01,Budi Pekerti,Indonesia,Drama,7.8,90.0,Wregas Bhanuteja,Indonesia,,6500.0
2023-06-02,Spider-Man: Across the Spider-Verse,Hollywood,Animasi/Aksi,8.6,140.0,Joaquim Dos Santos,Amerika Serikat,690.9,442000.0
2023-06-09,The Boogeyman,Hollywood,Horor/Thriller,5.9,98.0,Rob Savage,Amerika Serikat,72.9,55000.0
2023-06-09,Transformers: Rise of the Beasts,Hollywood,Aksi/Sci-Fi,6.0,127.0,Steven Caple Jr.,Amerika Serikat,439.1,120000.0
2023-06-15,Srimulat: Hil yang Mustahal Babak 2,Indonesia,Komedi,6.9,120.0,Fajar Nugros,Indonesia,,9300.0
2023-06-16,The Flash,Hollywood,Aksi/Sci-Fi,6.7,144.0,Andy Muschietti,Amerika Serikat,271.3,224000.0
2023-06-23,Asteroid City,Hollywood,Drama/Komedi,6.6,105.0,Wes Anderson,Amerika Serikat,13.5,100000.0
2023-06-29,Petaka Gunung Gede,Indonesia,Horor,5.5,93.0,Ginanti Rona,Indonesia,,3200.0
2023-06-30,Indiana Jones and the Dial of Destiny,Hollywood,Petualangan/Aksi,6.9,154.0,James Mangold,Amerika Serikat,384.3,181000.0
2023-07-07,Mission: Impossible – Dead Reckoning Part One,Hollywood,Aksi/Thriller,7.7,163.0,Christopher McQuarrie,Amerika Serikat,567.5,339000.0
2023-07-13,Kisah Tanah Jawa: Segara Pitu,Indonesia,Horor,5.8,95.0,Rizal Mantovani,Indonesia,,2800.0
2023-07-14,Insidious: The Red Door,Hollywood,Horor,5.4,107.0,Patrick Wilson,Amerika Serikat,186.6,42000.0
2023-07-21,Barbie,Hollywood,Komedi/Fantasi,6.9,114.0,Greta Gerwig,Amerika Serikat,1441.7,476000.0
2023-07-21,Oppenheimer,Hollywood,Drama/Biografi,8.3,180.0,Christopher Nolan,Amerika Serikat,952.0,917000.0
2023-07-27,Sri Asih,Indonesia,Aksi/Superhero,6.0,118.0,Upi,Indonesia,,5000.0
2023-08-03,Ben & Jody,Indonesia,Komedi/Aksi,6.5,108.0,Fajar Nugros,Indonesia,,11000.0
2023-08-04,Teenage Mutant Ninja Turtles: Mutant Mayhem,Hollywood,Animasi/Aksi,7.3,99.0,Jeff Rowe,Amerika Serikat,180.1,67000.0
2023-08-11,Meg 2: The Trench,Hollywood,Aksi/Sci-Fi,5.1,116.0,Ben Wheatley,Amerika Serikat,397.0,76000.0
2023-08-17,Imaginur,Indonesia,Drama/Fantasi,6.4,100.0,Bene Dion,Indonesia,,4100.0
2023-08-18,Strays,Hollywood,Komedi,6.3,93.0,Josh Greenbaum,Amerika Serikat,37.0,44000.0
2023-08-24,Gampang Cuan,Indonesia,Komedi,6.1,90.0,Anggy Umbara,Indonesia,,2800.0
2023-08-25,Blue Beetle,Hollywood,Aksi/Sci-Fi,6.5,127.0,Angel Manuel Soto,Amerika Serikat,130.9,97000.0
2023-09-01,Equalizer 3,Hollywood,Aksi/Thriller,7.2,109.0,Antoine Fuqua,Amerika Serikat,191.1,138000.0
2023-09-07,Putih Abu-Abu & Sepatu Kets,Indonesia,Drama/Romansa,6.1,105.0,Rudi Soedjarwo,Indonesia,,3200.0
2023-09-08,My Big Fat Greek Wedding 3,Hollywood,Drama/Komedi,5.1,91.0,Nia Vardalos,Amerika Serikat,34.5,16000.0
2023-09-15,A Haunting in Venice,Hollywood,Misteri/Thriller,6.8,103.0,Kenneth Branagh,Amerika Serikat,119.9,97000.0
2023-09-21,My Sassy Girl,Indonesia,Drama/Romansa,5.8,107.0,Yandy Laurens,Indonesia,,2100.0
2023-09-29,Saw X,Hollywood,Horor/Thriller,7.0,118.0,Kevin Greutert,Amerika Serikat,112.0,119000.0
2023-10-05,Siksa Kubur,Indonesia,Horor,7.5,117.0,Joko Anwar,Indonesia,,15000.0
2023-10-06,Paw Patrol: The Mighty Movie,Hollywood,Animasi/Keluarga,5.7,88.0,Cal Brunker,Amerika Serikat,145.0,8000.0
2023-10-06,The Creator,Hollywood,Aksi/Sci-Fi,7.0,133.0,Gareth Edwards,Amerika Serikat,102.8,130000.0
2023-10-13,Taylor Swift: The Eras Tour,Hollywood,Dokumenter/Musikal,8.5,168.0,Sam Wrench,Amerika Serikat,261.6,53000.0
2023-10-13,Five Nights at Freddy's,Hollywood,Horor,5.7,110.0,Emma Tammi,Amerika Serikat,297.0,113000.0
2023-10-19,Posesif 2,Indonesia,Thriller/Drama,6.3,112.0,Edwin,Indonesia,,3500.0
2023-10-20,Killers of the Flower Moon,Hollywood,Drama/Kriminal,7.7,206.0,Martin Scorsese,Amerika Serikat,157.0,253000.0
2023-10-27,Loki: Season 2,Hollywood,Aksi/Fantasi,8.1,,Justin Benson,Amerika Serikat,,
2023-11-02,Pemandi Jenazah,Indonesia,Horor,6.0,92.0,Hadrah Daeng Ratu,Indonesia,,4200.0
2023-11-03,The Marvels,Hollywood,Aksi/Sci-Fi,5.7,105.0,Nia DaCosta,Amerika Serikat,206.1,129000.0
2023-11-10,Five Nights at Freddy's 2,Hollywood,Horor,5.2,98.0,Emma Tammi,Amerika Serikat,,
2023-11-16,Jatuh Cinta Seperti di Film-Film,Indonesia,Drama/Romansa,7.9,104.0,Ernest Prakasa,Indonesia,,21000.0
2023-11-17,Hunger Games: The Ballad of Songbirds & Snakes,Hollywood,Drama/Fiksi Ilmiah,7.0,157.0,Francis Lawrence,Amerika Serikat,337.3,165000.0
2023-11-22,Wish,Hollywood,Animasi/Fantasi,5.7,95.0,Chris Buck,Amerika Serikat,257.0,47000.0
2023-12-01,Renaissance: A Film by Beyoncé,Hollywood,Dokumenter/Musikal,7.5,168.0,Beyoncé,Amerika Serikat,42.5,13000.0
2023-12-07,Petualangan Sherina 2,Indonesia,Drama/Musikal,7.1,120.0,Riri Riza,Indonesia,,13000.0
2023-12-08,Napoleon,Hollywood,Drama/Biografi,6.4,158.0,Ridley Scott,Amerika Serikat,220.0,124000.0
2023-12-15,Wonka,Hollywood,Musikal/Fantasi,7.0,116.0,Paul King,Amerika Serikat,632.3,176000.0
2023-12-21,Agak Laen (pre-release),Indonesia,Komedi,7.8,109.0,Muhadkly Acho,Indonesia,,35000.0
2023-12-22,Aquaman and the Lost Kingdom,Hollywood,Aksi/Sci-Fi,5.4,124.0,James Wan,Amerika Serikat,297.4,118000.0
2023-12-25,Ferrari,Hollywood,Drama/Biografi,6.8,130.0,Michael Mann,Amerika Serikat,42.0,55000.0
2024-01-05,Anyone But You,Hollywood,Romansa/Komedi,6.5,103.0,Will Gluck,Amerika Serikat,219.3,86000.0
2024-01-11,Catatan Akhir Kuliah,Indonesia,Drama/Romansa,5.9,102.0,Fajar Nugros,Indonesia,,3100.0
2024-01-12,The Beekeeper,Hollywood,Aksi/Thriller,6.6,105.0,David Ayer,Amerika Serikat,152.7,120000.0
2024-01-19,Migration,Hollywood,Animasi/Komedi,6.8,83.0,Benjamin Renner,Amerika Serikat,299.8,49000.0
2024-01-25,Hello Goodbye & Everything in Between,Indonesia,Drama/Romansa,5.8,95.0,Michael Gracey,Indonesia,,2300.0
2024-02-01,Agak Laen,Indonesia,Komedi,7.8,109.0,Muhadkly Acho,Indonesia,,35000.0
2024-02-02,Argylle,Hollywood,Aksi/Komedi,5.9,139.0,Matthew Vaughn,Amerika Serikat,96.2,88000.0
2024-02-08,Munkar,Indonesia,Horor,6.0,94.0,Hadrah Daeng Ratu,Indonesia,,3800.0
2024-02-14,Bob Marley: One Love,Hollywood,Biografi/Musikal,6.2,107.0,Reinaldo Marcus Green,Amerika Serikat,178.4,22000.0
2024-02-15,Sinden Gaib,Indonesia,Horor,5.7,90.0,Kimo Stamboel,Indonesia,,3800.0
2024-02-16,Madame Web,Hollywood,Aksi/Sci-Fi,4.4,116.0,S.J. Clarkson,Amerika Serikat,100.6,95000.0
2024-02-22,Ipar adalah Maut,Indonesia,Horor/Drama,7.1,98.0,Hanung Bramantyo,Indonesia,,9200.0
2024-02-23,Demon Slayer: Kimetsu no Yaiba – To the Hashira Training,Hollywood,Animasi/Aksi,7.8,113.0,Haruo Sotozaki,Jepang,75.5,88000.0
2024-03-01,Dune: Part Two,Hollywood,Sci-Fi/Drama,8.6,166.0,Denis Villeneuve,Amerika Serikat,711.8,559000.0
2024-03-07,Pasutri Gaje,Indonesia,Komedi,6.2,98.0,Muhadkly Acho,Indonesia,,4500.0
2024-03-08,Kung Fu Panda 4,Hollywood,Animasi/Aksi,6.3,94.0,Mike Mitchell,Amerika Serikat,547.9,68000.0
2024-03-14,Badarawuhi di Desa Penari,Indonesia,Horor,6.8,113.0,Kimo Stamboel,Indonesia,,14000.0
2024-03-15,Kung Fu Panda 4,Hollywood,Animasi/Aksi,6.3,94.0,Mike Mitchell,Amerika Serikat,547.9,68000.0
2024-03-22,Ghostbusters: Frozen Empire,Hollywood,Komedi/Petualangan,6.1,115.0,Gil Kenan,Amerika Serikat,202.0,82000.0
2024-03-28,Jumbo (pre-production),Indonesia,Animasi,,,Ryan Adriandhy,Indonesia,,
2024-03-29,Immaculate,Hollywood,Horor/Thriller,5.8,89.0,Michael Mohan,Amerika Serikat,14.7,51000.0
2024-04-04,Siksa Kubur,Indonesia,Horor,7.9,117.0,Joko Anwar,Indonesia,,18500.0
2024-04-05,Civil War,Hollywood,Drama/Aksi,7.3,109.0,Alex Garland,Amerika Serikat,127.3,157000.0
2024-04-11,Vina: Sebelum 7 Hari,Indonesia,Drama/Kriminal,6.5,120.0,Anggy Umbara,Indonesia,,22000.0
2024-04-12,The Fall Guy,Hollywood,Aksi/Komedi,7.0,126.0,David Leitch,Amerika Serikat,181.1,139000.0
2024-04-18,Pabrik Gula,Indonesia,Horor,7.2,104.0,Lele Laila,Indonesia,,16000.0
2024-04-19,The Idea of You,Hollywood,Romansa/Drama,7.0,116.0,Michael Showalter,Amerika Serikat,,81000.0
2024-05-01,The Ministry of Ungentlemanly Warfare,Hollywood,Aksi/Perang,7.3,120.0,Guy Ritchie,Amerika Serikat,,80000.0
2024-05-02,Gita Cinta dari SMA,Indonesia,Drama/Romansa,6.3,112.0,Fajar Nugros,Indonesia,,5400.0
2024-05-03,Challengers,Hollywood,Drama/Olahraga,7.4,131.0,Luca Guadagnino,Amerika Serikat,51.5,100000.0
2024-05-10,I Saw the TV Glow,Hollywood,Horor/Drama,6.8,100.0,Jane Schoenbrun,Amerika Serikat,,44000.0
2024-05-16,Dari Jendela SMP,Indonesia,Drama/Romansa,5.7,95.0,Yandy Laurens,Indonesia,,2900.0
2024-05-17,Kingdom of the Planet of the Apes,Hollywood,Aksi/Sci-Fi,6.8,145.0,Wes Ball,Amerika Serikat,397.5,183000.0
2024-05-22,The Garfield Movie,Hollywood,Animasi/Komedi,5.7,101.0,Mark Dindal,Amerika Serikat,200.9,41000.0
2024-05-23,Harimau,Indonesia,Thriller/Aksi,6.1,108.0,Rako Prijanto,Indonesia,,4100.0
2024-05-24,Furiosa: A Mad Max Saga,Hollywood,Aksi/Sci-Fi,7.8,148.0,George Miller,Amerika Serikat,172.8,233000.0
2024-06-06,Paku Tanah Jawa,Indonesia,Horor,5.9,96.0,Azhar Kinoi Lubis,Indonesia,,3600.0
2024-06-07,Hit Man,Hollywood,Komedi/Kriminal,7.6,115.0,Richard Linklater,Amerika Serikat,,98000.0
2024-06-14,Inside Out 2,Hollywood,Animasi/Drama,7.8,100.0,Kelsey Mann,Amerika Serikat,1700.0,231000.0
2024-06-20,Mualaf,Indonesia,Drama,6.5,110.0,Herwin Novianto,Indonesia,,4200.0
2024-06-21,Horizon: An American Saga,Hollywood,Drama/Western,6.8,181.0,Kevin Costner,Amerika Serikat,37.3,36000.0
2024-06-27,Heartbreak Motel,Indonesia,Drama/Romansa,6.7,117.0,Yandy Laurens,Indonesia,,7200.0
2024-06-28,A Quiet Place: Day One,Hollywood,Horor/Sci-Fi,7.0,99.0,Michael Sarnoski,Amerika Serikat,261.1,139000.0
2024-07-03,Despicable Me 4,Hollywood,Animasi/Komedi,6.3,95.0,Chris Renaud,Amerika Serikat,970.6,86000.0
2024-07-04,Ancika: Dia yang Bersamaku 1995,Indonesia,Drama/Romansa,7.0,124.0,Hanung Bramantyo,Indonesia,,12000.0
2024-07-05,Twisters,Hollywood,Aksi/Petualangan,7.2,122.0,Lee Isaac Chung,Amerika Serikat,370.5,136000.0
2024-07-12,Longlegs,Hollywood,Horor/Kriminal,5.8,101.0,Osgood Perkins,Amerika Serikat,75.1,89000.0
2024-07-18,Bidaah,Indonesia,Horor,6.2,102.0,Rizal Mantovani,Indonesia,,5500.0
2024-07-19,Longlegs,Hollywood,Horor/Kriminal,5.8,101.0,Osgood Perkins,Amerika Serikat,75.1,89000.0
2024-07-25,Budi Pekerti 2,Indonesia,Drama,7.1,100.0,Wregas Bhanuteja,Indonesia,,5400.0
2024-07-26,Deadpool & Wolverine,Hollywood,Aksi/Komedi,7.8,127.0,Shawn Levy,Amerika Serikat,1338.0,638000.0
2024-08-02,Alien: Romulus,Hollywood,Horor/Sci-Fi,7.3,119.0,Fede Álvarez,Amerika Serikat,349.8,254000.0
2024-08-08,Janji Darah,Indonesia,Thriller/Horor,5.8,95.0,Cornelio Sunny,Indonesia,,3100.0
2024-08-14,Borderlands,Hollywood,Aksi/Sci-Fi,3.3,102.0,Eli Roth,Amerika Serikat,33.1,29000.0
